time_point,original_signal,reconstructed_signal,squared_error
0,0.0,0.03318751,0.0011014107
1,0.095978424,0.03318751,0.003942699
2,0.23516329,0.03318751,0.040794216
3,0.4152119,0.66349757,0.06164578
4,0.6325272,0.66349757,0.00095916534
5,0.8823464,1.1092983,0.05150719
6,1.1588619,1.4643399,0.09331679
7,1.4553716,1.1092983,0.119766705
8,1.7644572,1.8820645,0.013831462
9,2.0781827,1.8820645,0.038462363
10,2.388312,2.9351192,0.29899794
11,2.686539,2.9351192,0.061792124
12,2.9647222,2.9351192,0.0008763379
13,3.215123,2.9351192,0.07840212
14,3.430635,2.9351192,0.24553593
15,3.6050022,2.9351192,0.44874325
16,3.7330184,2.9351192,0.63664323
17,3.810701,2.9351192,0.7666434
18,3.8354316,2.9351192,0.81056243
19,3.806064,2.9351192,0.75854474
20,3.7229857,2.9351192,0.62073374
21,3.58814,2.9351192,0.42643625
22,3.404994,2.9351192,0.22078238
23,3.178464,2.9351192,0.059216686
24,2.9147878,2.9351192,0.00041336514
25,2.621354,2.9351192,0.09844851
26,2.3064854,2.302795,1.3619651e-05
27,1.9791856,1.8820645,0.009432511
28,1.6488559,1.4643399,0.03404618
29,1.3249893,1.1092983,0.046522595
30,1.0168513,1.1092983,0.008546456
31,0.7331607,0.66349757,0.0048529487
32,0.4817793,0.03318751,0.20123461
33,0.26942512,0.66349757,0.15529309
34,0.101418465,0.03318751,0.0046554636
35,-0.018526195,0.03318751,0.0026743072
36,-0.08845353,0.03318751,0.014796543
37,-0.10825757,0.03318751,0.020006709
38,-0.079702795,0.03318751,0.012744221
39,-0.0063730017,0.03318751,0.001565034
40,0.106452316,0.03318751,0.005367732
41,0.2519912,0.03318751,0.04787506
42,0.42221597,0.66349757,0.05821681
43,0.60816395,0.66349757,0.0030618089
44,0.80029064,1.1092983,0.09548576
45,0.9888509,0.66349757,0.10585479
46,1.1642916,1.4643399,0.09002894
47,1.3176395,1.1092983,0.043406025
48,1.4408671,1.4643399,0.00055097166
49,1.5272199,1.4643399,0.0039538993
50,1.5714905,1.4643399,0.0114812665
51,1.5702273,1.4643399,0.011212144
52,1.5218685,1.4643399,0.0033095416
53,1.4267962,1.1092983,0.10080489
54,1.2873075,1.4643399,0.031340454
55,1.1075066,1.1092983,3.2102448e-06
56,0.8931222,0.66349757,0.052727472
57,0.65126014,0.66349757,0.00014975469
58,0.3901049,0.03318751,0.12739001
59,0.11858151,0.03318751,0.0072921356
60,-0.15400338,0.03318751,0.03504043
61,-0.4183269,-0.70875585,0.08434897
62,-0.66540533,-0.47523534,0.036164626
63,-0.88692427,-1.2705234,0.14714831
64,-1.0755318,-0.99659765,0.0062306067
65,-1.2250834,-1.2705234,0.0020648006
66,-1.3308305,-1.8591465,0.27911782
67,-1.38955,-1.2705234,0.014167317
68,-1.3996104,-1.8591465,0.2111734
69,-1.3609774,-1.2705234,0.008181923
70,-1.2751625,-1.2705234,2.1520595e-05
71,-1.1451188,-1.2705234,0.015726313
72,-0.97509474,-0.99659765,0.00046237523
73,-0.7704502,-0.47523534,0.087151796
74,-0.53744763,-0.200333,0.11364628
75,-0.28302592,-0.47523534,0.036944464
76,-0.014566596,0.03318751,0.0022804546
77,0.26033938,0.03318751,0.05159797
78,0.5341163,0.66349757,0.016739504
79,0.7994142,1.1092983,0.09602817
80,1.0492984,1.1092983,0.0035999932
81,1.2774167,1.4643399,0.03494026
82,1.4781387,1.1092983,0.13604319
83,1.6466678,1.8820645,0.05541157
84,1.7791251,1.4643399,0.09908975
85,1.8726044,1.8820645,8.949333e-05
86,1.9252012,1.4643399,0.21239316
87,1.9360161,1.8820645,0.0029107775
88,1.9051362,1.4643399,0.19430144
89,1.8335952,1.8820645,0.0023492735
90,1.7233157,1.4643399,0.067068495
91,1.5770377,1.4643399,0.012700803
92,1.3982326,1.1092983,0.08348299
93,1.1910082,1.4643399,0.07471019
94,0.9600063,0.66349757,0.087917425
95,0.71029323,0.66349757,0.0021898344
96,0.44724795,0.03318751,0.17144606
97,0.17644717,0.03318751,0.02052333
98,-0.09644935,0.03318751,0.016805714
99,-0.36581275,-0.70875585,0.11760997
100,-0.6261568,-0.47523534,0.02277729
101,-0.872246,-1.2705234,0.15862489
102,-1.099199,-0.99659765,0.010527049
103,-1.3025864,-1.2705234,0.0010280365
104,-1.4785212,-1.8591465,0.14487559
105,-1.6237413,-1.2705234,0.12476284
106,-1.7356827,-1.8591465,0.015243297
107,-1.8125428,-1.8591465,0.002171903
108,-1.8533298,-1.8591465,3.3833978e-05
109,-1.8579013,-1.8591465,1.5503762e-06
110,-1.8269871,-1.8591465,0.0010342224
111,-1.7621963,-1.8591465,0.009399336
112,-1.6660073,-1.2705234,0.15640748
113,-1.5417397,-1.8591465,0.10074706
114,-1.3935074,-1.2705234,0.015125047
115,-1.2261509,-1.2705234,0.001968924
116,-1.0451503,-0.99659765,0.002357358
117,-0.8565171,-0.70875585,0.02183338
118,-0.6666673,-0.47523534,0.036646187
119,-0.4822746,-0.200333,0.079491064
120,-0.31010783,-0.47523534,0.027267097
121,-0.15685302,0.03318751,0.036115404
122,-0.028924761,0.03318751,0.0038579344
123,0.06772984,0.03318751,0.0011931725
124,0.12782954,0.03318751,0.008957113
125,0.14695401,0.03318751,0.012942818
126,0.12172938,0.03318751,0.007839663
127,0.04999713,0.03318751,0.00028256333
128,-0.06904063,0.03318751,0.010450591
129,-0.23470719,-0.47523534,0.057853792
130,-0.44477597,-0.200333,0.059752364
131,-0.69544053,-0.47523534,0.048490323
132,-0.9813364,-1.2705234,0.08362913
133,-1.2956191,-1.2705234,0.0006297942
134,-1.6301022,-1.8591465,0.0524613
135,-1.975455,-1.8591465,0.013527683
136,-2.3214617,-2.9254308,0.36477867
137,-2.657333,-2.9254308,0.07187647
138,-2.9720678,-2.9254308,0.0021750152
139,-3.2548528,-2.9254308,0.108518854
140,-3.4954836,-2.9254308,0.32496026
141,-3.684799,-2.9254308,0.57664
142,-3.8150995,-2.9254308,0.7915104
143,-3.8805387,-2.9254308,0.91223115
144,-3.8774629,-2.9254308,0.9063651
145,-3.8046749,-2.9254308,0.77307016
146,-3.6636107,-2.9254308,0.5449096
147,-3.4584033,-2.9254308,0.28405976
148,-3.1958284,-2.9254308,0.073114894
149,-2.885121,-2.9254308,0.0016248693
150,-2.5376637,-2.9254308,0.15036331
151,-2.1665533,-1.8591465,0.09449893
152,-1.7860606,-1.8591465,0.0053415494
153,-1.4110034,-1.2705234,0.019734608
154,-1.0560639,-1.2705234,0.045992892
155,-0.73508304,-0.47523534,0.06752083
156,-0.46037146,-0.200333,0.06762
157,-0.2420754,-0.47523534,0.05436356
158,-0.087638654,0.03318751,0.014598962
159,-0.001394487,0.03318751,0.0011959145
160,0.015682723,0.03318751,0.0003064175
161,-0.03395411,0.03318751,0.0045079975
162,-0.14454582,0.03318751,0.031589136
163,-0.3073351,-0.70875585,0.16113861
164,-0.51104707,0.03318751,0.29619128
