time_point,original_signal,reconstructed_signal,squared_error
0,0.0,-0.059119567,0.0034951232
1,0.095978424,0.22947754,0.017822014
2,0.23516329,0.31926027,0.0070723025
3,0.4152119,0.39384523,0.00045653398
4,0.6325272,0.68125975,0.0023748642
5,0.8823464,1.0279547,0.021201778
6,1.1588619,1.0279547,0.01713669
7,1.4553716,1.4894339,0.0011602379
8,1.7644572,1.784722,0.00041065988
9,2.0781827,2.147927,0.004864274
10,2.388312,2.4154365,0.00073573337
11,2.686539,2.6251228,0.0037719433
12,2.9647222,2.9805915,0.0002518372
13,3.215123,3.0986335,0.0135697825
14,3.430635,3.426339,1.8456169e-05
15,3.6050022,3.6372764,0.001041627
16,3.7330184,3.6372764,0.0091665285
17,3.810701,3.6372764,0.030076051
18,3.8354316,3.6372764,0.03926547
19,3.806064,3.6372764,0.028489213
20,3.7229857,3.6372764,0.00734609
21,3.58814,3.5474937,0.0016521229
22,3.404994,3.426339,0.00045560475
23,3.178464,3.0986335,0.006372894
24,2.9147878,2.9114387,1.1216242e-05
25,2.621354,2.5918891,0.00086818385
26,2.3064854,2.2214973,0.0072229803
27,1.9791856,1.784722,0.037816096
28,1.6488559,1.784722,0.018459583
29,1.3249893,1.3664175,0.0017162964
30,1.0168513,1.0279547,0.00012328531
31,0.7331607,0.68125975,0.0026937057
32,0.4817793,0.39384523,0.007732402
33,0.26942512,0.31926027,0.0024835416
34,0.101418465,0.15590729,0.002969032
35,-0.018526195,-0.18793426,0.028699094
36,-0.08845353,-0.18793426,0.009896416
37,-0.10825757,-0.18793426,0.0063483757
38,-0.079702795,-0.18793426,0.0117140515
39,-0.0063730017,-0.059119567,0.0027822
40,0.106452316,0.22947754,0.015135205
41,0.2519912,0.31926027,0.004525126
42,0.42221597,0.39384523,0.0008048988
43,0.60816395,0.68125975,0.0053429957
44,0.80029064,0.7650305,0.0012432776
45,0.9888509,1.0279547,0.0015291077
46,1.1642916,1.0279547,0.018587757
47,1.3176395,1.3996512,0.006725919
48,1.4408671,1.4894339,0.0023587358
49,1.5272199,1.5761038,0.002389637
50,1.5714905,1.6941458,0.015044316
51,1.5702273,1.6941458,0.015355803
52,1.5218685,1.5761038,0.002941472
53,1.4267962,1.4894339,0.00392348
54,1.2873075,1.3664175,0.0062583964
55,1.1075066,1.0279547,0.0063285106
56,0.8931222,0.9324957,0.0015502739
57,0.65126014,0.68125975,0.0008999768
58,0.3901049,0.31926027,0.00501896
59,0.11858151,0.15590729,0.0013932136
60,-0.15400338,-0.18793426,0.0011513048
61,-0.4183269,-0.40283903,0.00023987441
62,-0.66540533,-0.7486032,0.0069218893
63,-0.88692427,-0.9208139,0.0011485085
64,-1.0755318,-1.0177988,0.0033331062
65,-1.2250834,-1.2567819,0.0010048003
66,-1.3308305,-1.3278879,8.6586715e-06
67,-1.38955,-1.4792703,0.008049744
68,-1.3996104,-1.4792703,0.006345706
69,-1.3609774,-1.3656687,2.2007762e-05
70,-1.2751625,-1.2567819,0.0003378436
71,-1.1451188,-1.1466135,2.2339668e-06
72,-0.97509474,-1.0177988,0.0018236355
73,-0.7704502,-0.7486032,0.00047728923
74,-0.53744763,-0.49829802,0.0015326921
75,-0.28302592,-0.18793426,0.009042423
76,-0.014566596,-0.059119567,0.0019849672
77,0.26033938,0.31926027,0.0034716714
78,0.5341163,0.5906836,0.003199854
79,0.7994142,0.7650305,0.0011822399
80,1.0492984,1.0279547,0.00045555388
81,1.2774167,1.3664175,0.007921146
82,1.4781387,1.4894339,0.00012758153
83,1.6466678,1.784722,0.019058943
84,1.7791251,1.784722,3.1325024e-05
85,1.8726044,1.784722,0.007723316
86,1.9252012,1.784722,0.019734407
87,1.9360161,1.784722,0.022889908
88,1.9051362,1.784722,0.0144995935
89,1.8335952,1.784722,0.0023885884
90,1.7233157,1.784722,0.0037707281
91,1.5770377,1.6941458,0.013714309
92,1.3982326,1.4562002,0.00336025
93,1.1910082,1.1706778,0.00041332634
94,0.9600063,1.0279547,0.004616985
95,0.71029323,0.68125975,0.0008429431
96,0.44724795,0.39384523,0.0028518508
97,0.17644717,0.22947754,0.0028122202
98,-0.09644935,-0.18793426,0.008369489
99,-0.36581275,-0.40283903,0.0013709458
100,-0.6261568,-0.65802705,0.0010157126
101,-0.872246,-0.9208139,0.00235884
102,-1.099199,-1.0177988,0.006626005
103,-1.3025864,-1.3278879,0.0006401637
104,-1.4785212,-1.4792703,5.6116755e-07
105,-1.6237413,-1.6878885,0.0041148677
106,-1.7356827,-1.7763284,0.0016520744
107,-1.8125428,-1.7763284,0.0013114793
108,-1.8533298,-1.9687723,0.013326975
109,-1.8579013,-1.9687723,0.012292369
110,-1.8269871,-1.7763284,0.0025663043
111,-1.7621963,-1.7763284,0.00019971744
112,-1.6660073,-1.6878885,0.0004787879
113,-1.5417397,-1.4792703,0.0039024213
