Step,train_loss,val_acc1,val_loss
0,2.038362605,34.87,1.887173438
1,1.87107153,49.42,1.477939063
2,1.811577246,55.49,1.303585938
3,1.774847771,65.38,1.1341625
4,1.707271273,66.78,1.092020313
5,1.65142851,71.84,0.928690625
6,1.61901519,73.67,0.91806875
7,1.600608588,76.52,0.824624219
8,1.588738414,77.36,0.821535156
9,1.575966994,74.26,0.902920313
10,1.54212404,79.37,0.755296094
11,1.519137845,79.85,0.727846094
12,1.511372235,75.98,0.8796375
13,1.506615152,79.42,0.743977344
14,1.442637522,80.35,0.719685156
15,1.464257295,78.94,0.776864844
16,1.444716749,83.96,0.610730469
17,1.428699611,82.45,0.712242188
18,1.435019324,83.37,0.657133594
19,1.433918014,85.21,0.671996875
20,1.44294154,82.15,0.748610156
21,1.404439987,85.71,0.598649219
22,1.370061689,84.58,0.609982813
23,1.404385198,87.53,0.614754688
24,1.378805064,87,0.58018125
25,1.385023725,85.28,0.63829375
26,1.38154292,88.2,0.56244375
27,1.355926827,88.53,0.547740234
28,1.374851747,89.02,0.539210156
29,1.363036328,88.4,0.566984375
30,1.328441773,88.52,0.525360156
31,1.338175112,89.25,0.473186719
32,1.335430681,89.52,0.503672656
33,1.349722919,88.99,0.524976953
34,1.295896694,90.3,0.440091016
35,1.328299091,89.96,0.482208203
36,1.319667991,90.2,0.408775781
37,1.309420293,90.02,0.499858203
38,1.284722724,90.84,0.443186719
39,1.301688196,90.98,0.478601172
40,1.31333382,90.74,0.426429688
41,1.307350544,91.03,0.479041797
42,1.31842754,91.16,0.443798828
43,1.310168878,90.26,0.488757813
44,1.308678234,90.23,0.489435938
45,1.272941973,91.45,0.458282813
46,1.295984598,90.98,0.472161719
47,1.283337101,91.13,0.434330859
48,1.266976808,91.01,0.435370313
49,1.261159966,91.76,0.409883203
50,1.25491649,91.28,0.445259766
51,1.243555719,91.64,0.482225781
52,1.265640771,91.41,0.4493375
53,1.250241578,91.53,0.440875391
54,1.256311508,92.15,0.420703516
55,1.230809908,92.69,0.431235938
56,1.271589402,92.01,0.410912891
57,1.268347492,91.52,0.450357031
58,1.247528938,91.94,0.473110938
59,1.230409104,92.04,0.446584375
60,1.261115019,92.26,0.459292578
61,1.279254728,92.29,0.411072266
62,1.254095503,92.3,0.407700391
63,1.232979021,91.73,0.420938672
64,1.214769268,92.4,0.392490625
65,1.246601454,92.01,0.372325391
66,1.234998017,91.66,0.428423438
67,1.27573676,92.27,0.420301172
68,1.230308019,92.56,0.41463125
69,1.213412639,92.57,0.386275586
70,1.23826452,92.17,0.441855469
71,1.245123134,92.65,0.421282031
72,1.212094421,92.55,0.440950391
73,1.257445166,91.73,0.415203516
74,1.249321266,92.6,0.450125781
75,1.225766762,91.77,0.424658984
76,1.242989986,92.53,0.42000625
77,1.236486021,92.72,0.395438672
78,1.244166267,92.69,0.451266406
79,1.240858023,91.73,0.417980078
80,1.222242836,92.65,0.402137109
81,1.229937265,92.7,0.411038281
82,1.20270564,93.11,0.378638281
83,1.225474403,92.97,0.414465234
84,1.225909009,92.4,0.398363281
85,1.210941261,93.39,0.411244531
86,1.211668416,93,0.423065234
87,1.218808924,93.12,0.404741797
88,1.207678173,93.79,0.377076563
89,1.196101651,93.12,0.354335938
90,1.209110855,93.2,0.41261875
91,1.186945288,92.88,0.406296094
92,1.23133218,92.75,0.424596094
93,1.2182596,92.71,0.388489453
94,1.212499033,93.11,0.416538281
95,1.215669796,92.7,0.381217578
96,1.238321089,93.46,0.400817188
97,1.221158416,93.02,0.430190625
98,1.22194673,93.28,0.386117578
99,1.19724916,92.62,0.400438281
100,1.206961806,93.15,0.352366602
101,1.204447384,93.85,0.390581641
102,1.184317016,93.01,0.374293359
103,1.203124781,93.32,0.416617578
104,1.205119985,93.54,0.382009766
105,1.224009258,93.66,0.363414453
106,1.207946691,93.67,0.355473828
107,1.226799415,93.35,0.418194922
108,1.17650332,93.69,0.354248828
109,1.165259847,93.74,0.371151953
110,1.238848457,93.58,0.407517188
111,1.19742544,93.68,0.366698828
112,1.189494818,93.63,0.365743555
113,1.192558401,93.13,0.382482813
114,1.175531921,93.48,0.39955625
115,1.186183798,93.29,0.420180078
116,1.187141389,93.64,0.355246094
117,1.197641181,93.76,0.386295703
118,1.180547603,93.49,0.3450875
119,1.197860125,93.6,0.360960156
120,1.167296626,93.65,0.426300391
121,1.167367414,93.22,0.400751172
122,1.221127537,93.79,0.362601563
123,1.163825353,93.89,0.397630859
124,1.201722995,93.26,0.38300625
125,1.18117116,93.91,0.366326758
126,1.195690322,94.03,0.400757422
127,1.192357949,92.94,0.362410547
128,1.206538644,93.81,0.354759375
129,1.149528135,93.48,0.382273438
130,1.175886838,94.18,0.388825
131,1.148132641,94.13,0.361453906
132,1.175387343,94.29,0.334736328
133,1.187978726,93.34,0.379689453
134,1.150828917,94.03,0.411047656
135,1.146243603,93.82,0.365210156
136,1.166121593,94.02,0.367999609
137,1.195729187,93.87,0.385008203
138,1.19351217,94.32,0.330248438
139,1.174420224,94.12,0.345567188
140,1.183505254,94.25,0.336050391
141,1.172350031,93.67,0.389709766
142,1.179412719,93.98,0.340326563
143,1.163619996,93.45,0.444351172
144,1.209413271,94.16,0.387887891
145,1.179673934,94.17,0.361255078
146,1.177588326,94.22,0.356598047
147,1.154568551,93.96,0.395778125
148,1.174966453,93.98,0.382596875
149,1.175463984,93.43,0.420778516
150,1.168791062,94.19,0.356723438
151,1.191380983,93.95,0.404795313
152,1.187906688,93.69,0.362448438
153,1.179608094,94.15,0.341714453
154,1.145455227,94.15,0.336887891
155,1.149318931,93.87,0.344235547
156,1.167376849,94.24,0.363469922
157,1.166553787,94.32,0.367342188
158,1.162263365,94.06,0.387714063
159,1.154497412,94.41,0.366242188
160,1.191042546,94.09,0.388707813
161,1.161218825,94.3,0.342039453
162,1.156770462,94.05,0.383780078
163,1.131027759,94.18,0.374454297
164,1.170355091,94.27,0.365053906
165,1.170740524,94.42,0.343561328
166,1.152251006,94.82,0.380958984
167,1.163491108,94.16,0.411252344
168,1.145013665,94.47,0.351509766
169,1.141332477,94.62,0.353246875
170,1.144791164,94.58,0.311791016
171,1.179909937,94.24,0.349374609
172,1.167963721,94.37,0.327252148
173,1.143448582,94.26,0.372251953
174,1.146006313,94.48,0.340494141
175,1.095938737,94.44,0.365905859
176,1.148183359,94.68,0.346460547
177,1.146276968,94.69,0.365883984
178,1.144714752,94.71,0.356976563
179,1.151516449,94.77,0.331592188
180,1.11317199,94.73,0.358158984
181,1.113599492,94.79,0.357330469
182,1.162988361,94.91,0.339768359
183,1.162988901,94.56,0.372018359
184,1.164966061,94.72,0.373589844
185,1.149952997,94.78,0.324525
186,1.146642553,94.89,0.36763125
187,1.150290864,94.85,0.351442969
188,1.117048295,94.75,0.333645703
189,1.155193257,94.64,0.348473047
190,1.135157043,94.58,0.361641797
191,1.150882458,94.82,0.342344141
192,1.138324705,94.72,0.385759766
193,1.136571606,95.01,0.356914453
194,1.118378788,94.89,0.370418359
195,1.162213426,94.84,0.383561719
196,1.1599709,94.3,0.394001172
197,1.143306788,95.11,0.314978906
198,1.139180379,94.77,0.379743359
199,1.112258151,94.83,0.340164453
200,1.139373664,95.09,0.343920313
201,1.143201939,94.81,0.31054375
202,1.177446552,94.96,0.350242578
203,1.131664533,95.26,0.325642969
204,1.116595447,94.98,0.379470313
205,1.124313434,94.97,0.336901953
206,1.119434791,94.87,0.365013672
