Step,train_loss,val_acc1,val_loss
0,6.537698209,6.174,5.481419609
1,5.71440931,19.234,4.166887812
2,5.101384735,33.706,3.188358527
3,4.717703549,40.574,2.819884185
4,4.52573197,47.138,2.409232759
5,4.352006426,50.596,2.306973555
6,4.226861657,53.168,2.166092026
7,4.127188082,54.216,2.127987599
8,4.052880696,56.088,1.986439989
9,3.991083547,57.796,1.985410578
10,3.935432335,59.142,1.924522927
11,3.892378994,59.164,1.900865058
12,3.856833279,60.532,1.812863123
13,3.832046044,61.586,1.814509278
14,3.799924511,61.496,1.848288064
15,3.779799306,62.232,1.791088087
16,3.744917461,62.61,1.784006642
17,3.730997478,63.326,1.795812867
18,3.717496222,64.07,1.705032686
19,3.70407814,63.098,1.788293648
20,3.678473945,64.044,1.753649114
21,3.665768305,64.566,1.730395257
22,3.649318992,64.592,1.739332963
23,3.631098695,64.758,1.728543111
24,3.630432047,64.888,1.73507929
25,3.619220187,65.382,1.657809811
26,3.600669099,65.362,1.656206485
27,3.600222351,65.694,1.645281003
28,3.589660833,65.372,1.707765719
29,3.581297284,66.184,1.657046838
30,3.573538901,66.638,1.617402681
31,3.565891268,66.412,1.652946579
32,3.553153887,66.328,1.657403714
33,3.540679808,66.498,1.691822674
34,3.538280859,66.452,1.611236087
35,3.537578083,66.782,1.61486096
36,3.529728836,67.244,1.524835026
37,3.526353498,66.892,1.583443597
38,3.522082364,67.248,1.608390759
39,3.518569763,66.558,1.640668326
40,3.498839646,67.42,1.618485266
41,3.497599955,67.718,1.627767022
42,3.489149258,67.174,1.607521703
43,3.48075943,66.794,1.634261017
44,3.484580648,67.408,1.628198249
45,3.468100536,67.844,1.564120799
46,3.458306363,67.932,1.565211144
47,3.456199536,68.7,1.519872196
48,3.45941795,67.86,1.526686433
49,3.457946375,67.996,1.541559093
50,3.452049535,68.228,1.538001517
51,3.429873805,68.382,1.548366709
52,3.431575073,68.686,1.478189632
53,3.444070718,68.784,1.496410583
54,3.431048799,68.94,1.456899152
55,3.417560923,68.944,1.464691476
56,3.421263793,68.694,1.525668275
57,3.404953966,68.938,1.467381802
58,3.396874317,68.784,1.546537526
59,3.39577173,68.674,1.542083065
60,3.393655076,69.234,1.475586644
61,3.385871682,68.894,1.503942742
62,3.39253501,68.818,1.516582049
63,3.373013252,69.624,1.503066144
64,3.37470588,69.934,1.472121085
65,3.367264711,69.366,1.436983131
66,3.358276404,69.832,1.41592181
67,3.353495484,69.8,1.424309438
68,3.352757171,70.038,1.409361768
69,3.341405629,70.244,1.416141256
70,3.350339287,70.35,1.400226029
71,3.337064293,70.124,1.489441975
72,3.329525772,70.41,1.398865094
73,3.315798459,70.41,1.424260657
74,3.32404662,70.486,1.434457732
75,3.323284321,70.498,1.359150683
76,3.309690353,70.748,1.359642441
77,3.305677846,71.08,1.360867055
78,3.294604377,71.038,1.352636872
79,3.292316428,71.244,1.368846397
80,3.294368341,71.234,1.393042124
81,3.294391327,71.158,1.366423106
82,3.276525895,71.532,1.351550609
83,3.268418908,70.842,1.360433497
84,3.266474485,71.112,1.386016653
85,3.26137821,71.43,1.372938371
86,3.24342247,71.432,1.35515295
87,3.254419563,71.475,1.385451381
88,3.235179591,71.54,1.290001526
89,3.228778096,72.058,1.296370441
90,3.228479627,72.06,1.356524058
91,3.224173371,71.783,1.329570177
92,3.205747525,72.508,1.271233719
93,3.221637773,72.033,1.302489218
94,3.200610536,71.904,1.341137342
95,3.19392772,72.643,1.26883097
96,3.193795263,72.55,1.274827194
97,3.184822193,72.884,1.277730762
98,3.164643777,72.485,1.295662766
99,3.166919314,72.721,1.352505171
100,3.16593355,73.054,1.279291672
101,3.149291002,73.094,1.348090211
102,3.147595194,73.302,1.270291673
103,3.141649436,73.43,1.229064021
104,3.128342858,73.65,1.224708221
105,3.129742547,73.263,1.293927471
106,3.115731564,73.609,1.227137554
107,3.122651776,73.68,1.240311521
108,3.108553352,73.913,1.264114364
109,3.097989144,73.981,1.254180699
110,3.089976593,74.264,1.248896712
111,3.083147318,74.165,1.195689783
112,3.072942638,74.392,1.175080553
113,3.075563987,74.583,1.169450071
114,3.059229282,74.647,1.203018291
115,3.053626319,74.887,1.20971769
116,3.03866254,74.897,1.175234739
117,3.042860597,75.156,1.173685918
118,3.040607943,74.83,1.260656883
119,3.023971541,75.017,1.203376197
120,3.014097057,75.245,1.154686721
121,3.008301476,75.736,1.138439496
122,2.997686183,75.104,1.189445232
123,2.996102465,75.779,1.148056641
124,2.980668447,76.063,1.128176957
125,2.968588462,76.039,1.124879134
126,2.964709604,76.182,1.169176383
127,2.959486824,75.841,1.143885142
128,2.942461365,76.349,1.119218473
129,2.939284464,76.426,1.136146194
130,2.927964222,76.461,1.079087578
131,2.925203921,76.748,1.097927442
132,2.925782342,76.619,1.129687563
133,2.903959821,77.172,1.127992769
134,2.898016353,76.878,1.109993577
135,2.882791609,76.997,1.161116239
136,2.874360453,77.25,1.097628035
137,2.864014991,77.315,1.065290204
138,2.854915838,77.44,1.095005685
139,2.845989515,77.752,1.040949622
140,2.83638416,77.688,1.126527391
141,2.825934085,77.93,1.090151809
142,2.822229769,77.753,1.095674712
143,2.810006769,78.168,1.054158999
144,2.802864528,78.312,1.049639845
145,2.783215088,78.404,1.000294221
146,2.784429681,78.602,1.004975287
147,2.771744964,78.38,1.035773486
148,2.761114767,78.484,1.060315339
149,2.746281576,78.867,1.016776964
150,2.736825453,79.287,1.008575379
151,2.738586157,78.739,1.039114271
152,2.721497726,79.175,1.000627283
153,2.711448619,79.313,1.018003371
154,2.691215951,79.563,0.984161721
155,2.682951627,79.538,0.972948985
156,2.680663306,79.784,0.993032271
157,2.658025792,79.829,0.987605609
158,2.64911139,79.953,0.959187832
159,2.645996022,80.096,0.964795396
160,2.632992673,80.152,0.98938283
161,2.619125971,80.207,0.956690866
